Fr;16:15;72;Snorri & der Baby-Schwimmclub;6;
Fr;16:15;86;Taiki;7.3;
Fr;16:30;104;Der Sohn des Vogelfängers;7.4;
Fr;16:45;80;Der glücklichste Mann der Welt;7.4;
Fr;16:45;93;Ungebetene Gäste;6.0;
Fr;19:00;114;Sonja;6.2;
Fr;19:15;93;Mutterland;7.3;
Fr;19:15;99;Nova Lituania;6.8;
Fr;19:15;121;Pelikanblut;6.2;
Fr;19:30;105;Die Spionin;6.7;
Fr;19:45;25;Gösta;7.5;
Fr;19:45;78;Der Kriegsfotograf;8.0;
Fr;22:00;125;Herzdame;7.5;
Fr;22:15;96;Postpubertäre Betriebsstörungen (Kurzfilme);7.2;
Fr;22:15;102;Orion's Belt;6.9;
Fr;22:15;90;Let the Bell Ring;8.1;
Fr;22:30;122;Pferde stehlen;6.7;
Fr;22:45;45;Alle Sünden;7.8;
Fr;22:45;61;Q’s Barbershop;7.8;
Fr;22:45;10;Ribadit;7;
Sa;10:00;40;Die Schwesternschule;7.7;
Sa;10:15;89;Sune vs Sune;5.5;
Sa;10:15;72;Snorri & der Baby-Schwimmclub;6;
Sa;10:15;88;Tatort: Borowski und das Haus am Meer;7;
Sa;10:30;99;Nova Lituania;6.8;
Sa;10:45;30;Magnus;7.6;
Sa;10:45;57;Heim ins Traumland;5;
Sa;10:45;60;In Touch;7.3;
Sa;13:00;119;Sons of Denmark;6.5;
Sa;13:15;65;KuhToppen;5.8;
Sa;13:15;89;Die Kinder vom Hotel Amerika;8.2;
Sa;13:15;91;Romys Salon;7.5;
Sa;13:30;85;Anori;6.9;
Sa;13:45;45;Alle Sünden;7.8;
Sa;13:45;71;Natursinfonie;6.8;
Sa;16:00;105;Aurora;7.0;
Sa;16:15;104;Bille;7.8;
Sa;16:15;81;Das weiße Schiff;5.7;
Sa;16:15;67;Fortschritt im Tal der Ahnungslosen;7;
Sa;16:30;79;Echo;7.1;
Sa;16:45;86;Das Waisenhaus;7.0;
Sa;16:45;73;Die Götter von Molenbeek;7.6;
Sa;19:00;110;Ausnahme;7;
Sa;19:15;102;Stupid Young Heart;6.3;
Sa;19:15;83;Eisige Küsse;5.0;
Sa;19:15;90;Weihnachten im Schnee;7;
Sa;19:30;73;Über die Unendlichkeit;6.8;
Sa;19:45;45;Kommissar Wisting - Eisige Schatten;7.5;
Sa;19:45;64;Die Unerwünschten;7.4;
Sa;19:45;15;Neue Nachbarn;5;
Sa;22:00;55;Trapped II - Gefangen in Island;8.1;
Sa;22:15;74;I Want to Believe (Kurzfilme);6.8;
Sa;22:15;96;Der demokratische Terrorist;5.8;
Sa;22:15;72;Die Verwandlung;7;
Sa;22:30;105;Die Spionin;6.7;
Sa;22:45;45;Kieler Straße;6.8;
Sa;22:45;87;The Magic Life of V;6.9;
So;10:00;60;Der sterbende Kommissar;7.1;
So;10:00;75;Skandinavisches Schweigen;6.2;
So;10:15;60;Kurze für Kurze (Kurzfilme);6.3;
So;10:15;73;Über die Unendlichkeit;6.8;
So;10:15;128;An der Bruchkante – Imker in Mecklenburg;6;
So;10:30;110;Ausnahme;7;
So;10:45;74;Patrimonium;5;
So;10:45;11;The Art of Working in Pairs;5;
So;13:00;90;The County;7.0;
So;13:15;85;Anori;6.9;
So;13:15;93;Lucia und der Weihnachtsmann;6.6;
So;13:15;84;Katzenjammer Kauderwelsch;7;
So;13:30;119;Sons of Denmark;6.5;
So;13:45;105;Feuer und Flamme;6.1;
So;13:45;70;Auf Wiedersehen, Eisbär;7.2;
So;16:00;105;Die Spionin;6.7;
So;16:15;90;Eias Abenteuer im Eulenwald;8.0;
So;16:15;99;Nova Lituania;6.8;
So;16:15;80;Born for Korn;7;
So;16:30;108;Weißer weißer Tag;7.1;
So;16:45;87;The Magic Life of V;6.9;
So;16:45;94;Harz;6.0;
So;19:00;106;Dogs Don’t Wear Pants;7.4;
So;19:15;79;Echo;7.1;
So;19:15;89;Diva of Finland;6.7;
So;19:15;80;The Hidden City;7;
So;19:30;128;Kongo;6.2;
So;19:45;122;Pferde stehlen;6.7;
So;19:45;75;Saison;6.7;
